OBJECTID *,Shape *,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area
19373,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,100,618.8951,6 - Hand Drawn,Suppression (Wildfire),<Null>,5944.884579,2504579.886
19374,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,50,358.4782,6 - Hand Drawn,Suppression (Wildfire),<Null>,4512.248818,1450709.714
19375,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,600,1061.32,6 - Hand Drawn,Suppression (Wildfire),<Null>,8892.745957,4295010.002
19376,Polygon,<Null>,California,Contract County,Marin County,INVERNESS,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,100,302.9763,6 - Hand Drawn,Suppression (Wildfire),<Null>,4469.598053,1226101.828
19377,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,10,133.0793,6 - Hand Drawn,Suppression (Wildfire),<Null>,2668.891888,538552.9526
19378,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,100,279.8481,6 - Hand Drawn,Suppression (Wildfire),<Null>,4013.749185,1132505.238
19379,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,10,206.9232,6 - Hand Drawn,Suppression (Wildfire),<Null>,3623.240845,837388.6323
19380,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,200,949.1334,6 - Hand Drawn,Suppression (Wildfire),<Null>,7249.093822,3841006.636
19381,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,150,992.6198,6 - Hand Drawn,Suppression (Wildfire),<Null>,8249.040251,4016989.679
19382,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,350,1188.762,6 - Hand Drawn,Suppression (Wildfire),<Null>,8064.829068,4810748.453
19383,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,200,991.4965,6 - Hand Drawn,Suppression (Wildfire),<Null>,8147.726872,4012443.886
19384,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,3000,1731.205,6 - Hand Drawn,Suppression (Wildfire),<Null>,11233.81789,7005937.583
19385,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,10,72.52371,6 - Hand Drawn,Suppression (Wildfire),<Null>,2047.149107,293493.0625
19386,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,15,104.4756,6 - Hand Drawn,Suppression (Wildfire),<Null>,2334.971323,422797.8445
19387,Polygon,<Null>,California,Contract County,Marin County,DEVILS GULCH,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,500,1543.156,6 - Hand Drawn,Suppression (Wildfire),<Null>,10866.96126,6244932.818
19388,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,15,118.4818,6 - Hand Drawn,Suppression (Wildfire),<Null>,2662.680722,479478.7804
19389,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,40,146.1978,6 - Hand Drawn,Suppression (Wildfire),<Null>,3191.849589,591641.6767
19390,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,12,37.65106,6 - Hand Drawn,Suppression (Wildfire),<Null>,1440.029629,152368.4341
19391,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,20,50.76468,6 - Hand Drawn,Suppression (Wildfire),<Null>,1663.103619,205437.3561
19392,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,250,3572.736,6 - Hand Drawn,Suppression (Wildfire),<Null>,16187.19784,14458349.95
19393,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,50,179.901,6 - Hand Drawn,Suppression (Wildfire),<Null>,3180.471081,728033.3842
19394,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,200,269.6567,6 - Hand Drawn,Suppression (Wildfire),<Null>,4389.606363,1091261.959
19395,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,40,285.4541,6 - Hand Drawn,Suppression (Wildfire),<Null>,3968.756801,1155191.823
19396,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,529.129201,529.1292,6 - Hand Drawn,Suppression (Wildfire),<Null>,5607.00763,2141309.914
19397,Polygon,<Null>,California,Contract County,Marin County,UKNOWN,<Null>,<Null>,<Null>,14 - Unknown / Unidentified,1917-34(Yr Not Report)MarinCo FireChief Garber Map,40,228.7708,6 - Hand Drawn,Suppression (Wildfire),<Null>,4024.39369,925802.3918
