FID,Join_Count,TARGET_FID,biosum_con,ID,biosum_plo,lat,lon,Id_1,gridcode,prob
0,1,0,1.20051E+24,1,1.20051E+23,41.585499,-124.058511,10278,1818,0.1818
1,1,1,1.20061E+24,2,1.20061E+23,39.739733,-121.508703,68854,4513,0.4513
2,1,2,1.20061E+24,3,1.20061E+23,41.78481,-124.066632,4716,2226,0.2226
3,1,3,1.20061E+24,4,1.20061E+23,38.78118,-123.388052,90248,5721,0.5721
4,1,4,1.20061E+24,5,1.20061E+23,41.577507,-121.5703,12445,1962,0.1962
5,1,5,1.20061E+24,6,1.20061E+23,38.797339,-122.942587,90277,4262,0.4262
6,1,6,1.20061E+24,7,1.20061E+23,38.650085,-123.066076,93822,4237,0.4237
7,1,7,1.20061E+24,8,1.20061E+23,38.650085,-123.066076,93822,4237,0.4237
8,1,8,1.20071E+24,9,1.20071E+23,41.986027,-122.932582,393,4137,0.4137
9,1,9,1.20071E+24,10,1.20071E+23,41.961292,-123.130698,720,6397,0.6397
10,1,10,1.20071E+24,11,1.20071E+23,41.985813,-123.229826,222,5672,0.5672
11,1,11,1.20071E+24,12,1.20071E+23,40.468323,-124.137839,44383,1083,0.1083
12,1,12,1.20071E+24,13,1.20071E+23,39.253969,-123.461892,79474,5435,0.5435
13,1,13,1.20071E+24,14,1.20071E+23,37.535245,-121.681824,122906,5544,0.5544
14,1,14,1.20071E+24,15,1.20071E+23,37.690118,-121.973938,118545,5922,0.5922
15,1,15,1.20071E+24,16,1.20071E+23,38.831665,-119.885685,90464,2553,0.2553
16,1,16,1.20071E+24,17,1.20071E+23,38.821511,-119.825152,90701,2443,0.2443
17,1,17,1.20071E+24,18,1.20071E+23,38.821511,-119.825152,90701,2443,0.2443
18,1,18,1.20071E+24,19,1.20071E+23,38.457513,-120.673827,99718,2988,0.2988
19,1,19,1.20071E+24,20,1.20071E+23,39.85891,-121.473158,65515,1373,0.1373
20,1,20,1.20071E+24,21,1.20071E+23,39.9227,-121.673087,63824,7668,0.7668
21,1,21,1.20071E+24,22,1.20071E+23,39.981189,-121.659718,62135,4198,0.4198
22,1,22,1.20071E+24,23,1.20071E+23,39.572363,-121.13262,72945,2138,0.2138
23,1,23,1.20071E+24,24,1.20071E+23,39.82125,-121.621317,66589,1938,0.1938
24,1,24,1.20071E+24,25,1.20071E+23,39.687046,-121.462598,70093,2619,0.2619
25,1,25,1.20071E+24,26,1.20071E+23,38.484068,-120.095327,99264,2041,0.2041
26,1,26,1.20071E+24,27,1.20071E+23,37.906642,-120.594664,113435,6398,0.6398
27,1,27,1.20071E+24,28,1.20071E+23,37.906642,-120.594664,113435,6398,0.6398
28,1,28,1.20071E+24,29,1.20071E+23,39.271049,-122.628748,79776,10570,1.057
29,1,29,1.20071E+24,30,1.20071E+23,41.612886,-123.956017,9720,869,0.0869
30,1,30,1.20071E+24,31,1.20071E+23,41.462407,-123.623422,14304,1572,0.1572
31,1,31,1.20071E+24,32,1.20071E+23,38.939386,-120.435112,87815,3811,0.3811
32,1,32,1.20071E+24,33,1.20071E+23,38.554009,-120.420481,97258,7405,0.7405
33,1,33,1.20071E+24,34,1.20071E+23,38.606899,-120.241285,95989,4364,0.4364
34,1,34,1.20071E+24,35,1.20071E+23,38.73167,-120.57547,92738,1541,0.1541
35,1,35,1.20071E+24,36,1.20071E+23,38.900756,-120.617217,88746,2612,0.2612
36,1,36,1.20071E+24,37,1.20071E+23,38.754007,-120.296352,92290,5082,0.5082
37,1,37,1.20071E+24,38,1.20071E+23,38.576991,-120.553309,96732,3719,0.3719
38,0,38,1.20071E+24,39,1.20071E+23,38.762116,-120.747923,0,0,0
39,1,39,1.20071E+24,40,1.20071E+23,38.606625,-120.430194,95974,6798,0.6798
40,1,40,1.20071E+24,41,1.20071E+23,38.913269,-120.741279,88260,8313,0.8313
41,1,41,1.20071E+24,42,1.20071E+23,37.035545,-119.225577,138956,11044,1.1044
42,1,42,1.20071E+24,43,1.20071E+23,37.182131,-119.224746,134301,6785,0.6785
43,1,43,1.20071E+24,44,1.20071E+23,37.075657,-119.382396,137828,10050,1.005
44,1,44,1.20071E+24,45,1.20071E+23,37.362557,-119.239019,128570,5801,0.5801
45,1,45,1.20071E+24,46,1.20071E+23,39.567122,-122.68415,72416,8275,0.8275
46,1,46,1.20071E+24,47,1.20071E+23,40.504123,-124.15865,43401,1463,0.1463
47,1,47,1.20071E+24,48,1.20071E+23,41.103679,-123.849598,24837,575,0.0575
48,1,48,1.20071E+24,49,1.20071E+23,41.275699,-123.926928,19385,975,0.0975
49,1,49,1.20071E+24,50,1.20071E+23,40.761704,-124.141401,34950,348,0.0348
50,1,50,1.20071E+24,51,1.20071E+23,40.087799,-123.895397,56921,2398,0.2398
51,1,51,1.20071E+24,52,1.20071E+23,40.933382,-123.868887,30220,1771,0.1771
52,1,52,1.20071E+24,53,1.20071E+23,40.794835,-123.800555,34360,1074,0.1074
53,1,53,1.20071E+24,54,1.20071E+23,41.292098,-123.591439,19411,2074,0.2074
54,1,54,1.20071E+24,55,1.20071E+23,40.745705,-123.982041,35891,1678,0.1678
55,1,55,1.20071E+24,56,1.20071E+23,40.745705,-123.982041,35891,1678,0.1678
56,1,56,1.20071E+24,57,1.20071E+23,41.04642,-124.054039,26333,1269,0.1269
57,1,57,1.20071E+24,58,1.20071E+23,40.579398,-123.951989,41170,808,0.0808
58,1,58,1.20071E+24,59,1.20071E+23,40.680286,-124.069046,37708,954,0.0954
59,1,59,1.20071E+24,60,1.20071E+23,40.949454,-123.693245,29927,780,0.078
60,1,60,1.20071E+24,61,1.20071E+23,41.062619,-123.727436,26359,2160,0.216
61,1,61,1.20071E+24,62,1.20071E+23,41.140904,-123.573193,23938,2639,0.2639
62,1,62,1.20071E+24,63,1.20071E+23,41.252484,-123.717662,20308,919,0.0919
63,1,63,1.20071E+24,64,1.20071E+23,40.751665,-123.650457,35917,826,0.0826
64,1,64,1.20071E+24,65,1.20071E+23,40.134228,-123.72359,55753,2639,0.2639
65,1,65,1.20071E+24,66,1.20071E+23,41.388452,-123.96472,16195,678,0.0678
66,1,66,1.20071E+24,67,1.20071E+23,40.44271,-123.612066,46096,1206,0.1206
67,1,67,1.20071E+24,68,1.20071E+23,40.44271,-123.612066,46096,1206,0.1206
68,1,68,1.20071E+24,69,1.20071E+23,35.471227,-118.40587,190458,1186,0.1186
69,1,69,1.20071E+24,70,1.20071E+23,38.882872,-122.758954,88152,4131,0.4131
70,1,70,1.20071E+24,71,1.20071E+23,39.226461,-122.946785,80687,10211,1.0211
71,1,71,1.20071E+24,72,1.20071E+23,39.540784,-122.842842,73106,6761,0.6761
72,1,72,1.20071E+24,73,1.20071E+23,38.909638,-122.90253,87468,3591,0.3591
