ID,scenario,rxpackage,inc_fire,cpu,cumsum_carb,total_carbon_grow,total_carbon_max,cumsum_fire,biosum_cond_id,biosum_plot_id,fortypcd,acres,owngrpcd,lat,lon,elev,MEANING,CEC_type,TargetType
592,10MM,700,with fire,-29.564468226376643,22375.401472795456,18867.864886187315,22375.401472795456,22375.401472795456,1201806060808901e9,1201806060808901e8,261,5628.201936323041,10,41.144,-121.9,5300,White fir,True fir,1
422,10MM,040,with fire,-5.8084707301462055,35172.96519054949,1262.1842029062752,12797.563717754032,35172.96519054949,1201506060508901e9,1201506060508901e8,371,4998.174491104166,10,40.318,-123,3700,California mixed conifer,Mixed conifer,1
7,10MM,040,with fire,-1.4546292002160257,49289.38658826126,-169.80624296130244,14116.421397711772,49289.38658826126,1200906010909301e9,1200906010909301e8,371,1286.7114824319274,10,41.984,-123,4700,California mixed conifer,Mixed conifer,1
727,10MM,030,with fire,0.12084558438789939,57927.21204650925,743.3347574461069,8637.825458247993,57927.21204650925,12016060606023008e8,12016060606023008e7,371,3571.7965008916526,10,41.333,-123.6,3500,California mixed conifer,Mixed conifer,1
2055,10MM,040,with fire,0.392699253391764,72706.8957918118,-2.4675098257310273,14779.683745302536,72706.8957918118,12016060606019007e8,12016060606019007e7,371,2563.4936385608376,10,36.941,-119,6100,California mixed conifer,Mixed conifer,1
572,10MM,010,with fire,1.5239778799382953,83054.31805822706,-50.50393588965359,10347.422266415264,83054.31805822706,12017060607105009e8,1201706060710501e8,943,2418.9539967193423,10,40.48,-123.2,4300,Giant chinkapin,Hardwood,0
1849,10MM,030,with fire,1.5499387733459662,98836.39845690422,-169.0262249061399,15782.080398677175,98836.39845690422,12013060603063007e8,12013060603063007e7,261,1576.474428318254,10,39.938,-120.6,6300,White fir,True fir,1
1906,10MM,700,with fire,1.571593170704546,109660.76158006908,423.86337774578516,10824.363123164849,109660.76158006908,1201406060403501e9,12014060604035008e7,261,1455.0531528215972,10,40.29,-120.8,7300,White fir,True fir,1
2172,10MM,010,with fire,4.03891011819486,114292.53954279068,-85.97063079697574,4631.777962721592,114292.53954279068,1201706060706301e9,1201706060706301e8,270,1517.172108716755,10,39.698,-120.7,6900,Mountain hemlock,Other conifer,0
110,10MM,040,with fire,4.672701869016743,116218.61051721979,-41.22049474539552,1926.070974429121,116218.61051721979,12010060110015006e8,12010060110015006e7,201,845.1826467465407,10,41.959,-123.6,3500,Douglas-fir,Douglas-fir,1
1831,10MM,030,with fire,5.16823595929058,124308.44942860886,-377.88147419816164,8089.838911389073,124308.44942860886,1201306060304301e9,1201306060304301e8,371,1585.5519382277514,10,37.495,-119.6,5900,California mixed conifer,Mixed conifer,1
2250,10MM,040,with fire,5.415299193055301,138039.10536977721,-156.51269701190267,13730.655941168337,138039.10536977721,12018060608063008e8,12018060608063007e7,371,2922.1974259721073,10,39.989,-120.9,3900,California mixed conifer,Mixed conifer,1
1783,10MM,010,with fire,6.884283497364854,146229.0066273789,-254.31518637135738,8189.901257601697,146229.0066273789,12012060602091005e8,12012060602091005e7,371,2558.880146283429,10,39.648,-120.6,6700,California mixed conifer,Mixed conifer,1
508,10MM,040,with fire,7.029458547168413,157738.93201175382,-269.04152622991444,11509.925384374928,157738.93201175382,12017060207093009e8,12017060207093009e7,933,1950.0089905901611,10,41.961,-123.1,3900,Canyon live oak,Hardwood,0
975,10MM,040,with fire,7.359925980830204,166030.9402029999,-494.2379046086464,8292.008191246054,166030.9402029999,12014060604093008e8,12014060604093009e7,371,1506.9650479335232,10,41.682,-123.4,2300,California mixed conifer,Mixed conifer,1
1934,10MM,700,with fire,8.363581838686805,193616.7491358358,2412.2249136211212,27585.80893283591,193616.7491358358,12014060604063008e8,12014060604063006e7,371,6208.955956948617,10,39.844,-120.7,5300,California mixed conifer,Mixed conifer,1
1758,10MM,040,with fire,8.51045924206489,198386.8677003723,1031.8244207421878,4770.1185645365185,198386.8677003723,12012060602057009e8,1201206060205701e8,371,3998.5931139071927,10,39.341,-120.8,3900,California mixed conifer,Mixed conifer,1
1615,10MM,040,with fire,8.568570890795124,251526.15781698035,-2999.3610313843074,53139.290116608034,251526.15781698035,12010060510063008e8,12010060510063007e7,371,5673.45475720812,10,39.846,-120.5,6300,California mixed conifer,Mixed conifer,1
321,10MM,020,with fire,8.872217601039845,256246.9353707619,-170.54634846592276,4720.777553781565,256246.9353707619,12013060603105006e8,12013060603105007e7,933,2199.1261501697736,10,40.363,-123.2,3300,Canyon live oak,Hardwood,0
1575,10MM,700,with fire,10.310935447198887,262697.0120703397,170.82114469973217,6450.076699577792,262697.0120703397,12010060510017007e8,12010060510017008e7,261,5965.586368093286,10,38.851,-120.3,4900,White fir,True fir,1
